"Date","Team","Acquired","Relinquished","Notes"
"2021-03-27","Clippers","• Patrick Beverley","","activated from IL"
"2021-03-27","Jazz","","• Mike Conley Jr.","placed on IL with right hamstring injury"
"2021-03-27","Jazz","• Matt Thomas","","activated from IL"
"2021-03-27","Knicks","","• Julius Randle","placed on IL with left thigh injury"
"2021-03-27","Knicks","","• Terrance Ferguson","placed on IL with NBA health and safety protocols"
"2021-03-27","Knicks","• Derrick Rose","","returned to lineup"
"2021-03-27","Knicks","• Nerlens Noel","","returned to lineup"
"2021-03-27","Mavericks","","• Kristaps Porzingis","right knee injury (DTD)"
"2021-03-27","Mavericks","","• Luka Doncic","placed on IL with illness"
"2021-03-27","Mavericks","• Nicolo Melli","","activated from IL"
"2021-03-27","Pelicans","","• Jaxson Hayes","placed on IL with sprained right wrist"
"2021-03-27","Pelicans","","• Lonzo Ball","placed on IL with right hip flexor injury"
"2021-03-26","Heat","","• Nemanja Bjelica","NBA health and safety protocols (DTD)"
"2021-03-26","Heat","","• Victor Oladipo","NBA health and safety protocols (DTD)"
"2021-03-26","Heat","• Jimmy Butler","","returned to lineup"
"2021-03-26","Jazz","","• Matt Thomas","placed on IL with NBA health and safety protocols"
"2021-03-26","Kings","• Hassan Whiteside","","returned to lineup"
"2021-03-26","Magic","","• Jeff Teague","placed on IL with NBA health and safety protocols"
"2021-03-26","Magic","","• Otto Porter Jr.","placed on IL with NBA health and safety protocols"
"2021-03-26","Magic","","• R.J. Hampton","placed on IL with NBA health and safety protocols"
"2021-03-26","Magic","","• Wendell Carter Jr.","placed on IL with NBA health and safety protocols"
"2021-03-26","Mavericks","","• Luka Doncic","placed on IL with tightness in lower back"
"2021-03-26","Mavericks","","• Nicolo Melli","placed on IL with NBA health and safety protocols"
"2021-03-26","Nets","• James Harden","","returned to lineup"
"2021-03-26","Nuggets","","• Aaron Gordon","placed on IL with NBA health and safety protocols"
"2021-03-26","Nuggets","","• Gary Clark Jr.","placed on IL with NBA health and safety protocols"
"2021-03-26","Nuggets","","• JaVale McGee","placed on IL with NBA health and safety protocols"
"2021-03-26","Pelicans","","• James Johnson","placed on IL with NBA health and safety protocols"
"2021-03-26","Pelicans","","• Wesley Iwundu / Wes Iwundu","placed on IL with NBA health and safety protocols"
"2021-03-26","Pistons","","• Dennis Smith Jr.","placed on IL with spine injury"
"2021-03-26","Pistons","• Hamidou Diallo","","activated from IL"
"2021-03-26","Pistons","• Rodney McGruder","","activated from IL"
"2021-03-26","Raptors","","• DeAndre' Bembry / DeAndre Bembry","placed on IL with NBA health and safety protocols"
"2021-03-26","Raptors","","• Paul Watson","placed on IL with NBA health and safety protocols"
"2021-03-26","Rockets","","• Kelly Olynyk","placed on IL with NBA health and safety protocols"
"2021-03-26","Timberwolves","","• Josh Okogie","placed on IL with NBA health and safety protocols"
"2021-03-26","Timberwolves","• Jordan McLaughlin","","returned to lineup"
"2021-03-25","Blazers","• Nassir Little","","activated from IL"
"2021-03-25","Celtics","","• Semi Ojeleye","placed on IL with left side injury"
"2021-03-25","Clippers","","• Kawhi Leonard","sore right foot (DTD)"
"2021-03-25","Clippers","","• Marcus Morris","right calf injury (DTD)"
"2021-03-25","Heat","","• Jimmy Butler","illness (DTD)"
"2021-03-25","Heat","","• K.Z. Okpala","placed on IL with NBA health and safety protocols"
"2021-03-25","Kings","","• Hassan Whiteside","sore right knee (DTD)"
"2021-03-25","Knicks","","• Nerlens Noel","sore right shoulder (DTD)"
"2021-03-25","Knicks","","• Reggie Bullock","placed on IL with sprained right ankle"
"2021-03-25","Lakers","• Marc Gasol","","returned to lineup"
"2021-03-25","Nets","• Blake Griffin","","returned to lineup"
"2021-03-25","Spurs","• Rudy Gay","","returned to lineup"
"2021-03-25","Warriors","","• Draymond Green","illness (DTD)"
"2021-03-25","Spurs","• LaMarcus Aldridge","","activated from IL"
"2021-03-25","Thunder","• Meyers Leonard","","activated from IL"
"2021-03-25","76ers","","• Ignas Brazdeikis / Iggy Brazdeikis","placed on IL with NBA health and safety protocols"
"2021-03-25","Hawks","","• Louis Williams / Lou Williams","placed on IL with NBA health and safety protocols"
"2021-03-26","Blazers","","• Damian Lillard","placed on IL with bruised left knee"
"2021-03-26","Blazers","• Jusuf Nurkic","","activated from IL"
"2021-03-26","Bucks","","• Bobby Portis","placed on IL with NBA health and safety protocols"
"2021-03-26","Bucks","","• P.J. Tucker","placed on IL with strained left calf"
"2021-03-26","Bucks","• Bryn Forbes","","activated from IL"
"2021-03-26","Cavaliers","","• Isaiah Hartenstein","placed on IL with NBA health and safety protocols"
"2021-03-26","Celtics","","• Evan Fournier","placed on IL with NBA health and safety protocols"
"2021-03-26","Hawks","","• De'Andre Hunter","placed on IL with sore right knee"
"2021-03-23","Warriors","• James Wiseman","","activated from IL"
"2021-03-24","Bucks","","• Bryn Forbes","placed on IL with toe injury"
"2021-03-24","Bucks","• Giannis Antetokounmpo","","activated from IL"
"2021-03-24","Bulls","• Garrett Temple","","activated from IL"
"2021-03-24","Cavaliers","","• Collin Sexton","placed on IL with right hamstring injury"
"2021-03-24","Hawks","","• Rajon Rondo","right adductor injury (DTD)"
"2021-03-24","Hornets","• Cody Zeller","","activated from IL"
"2021-03-24","Kings","• Chimezie Metu","","activated from IL"
"2021-03-24","Magic","• Chasson Randle","","activated from IL"
"2021-03-24","Magic","• Mohamed Bamba / Mo Bamba","","activated from IL"
"2021-03-24","Nets","","• Blake Griffin","left knee injury (DTD)"
"2021-03-24","Nets","","• James Harden","sore neck (DTD)"
"2021-03-24","Nets","","• Landry Shamet","placed on IL with sprained right ankle"
"2021-03-24","Nets","• Alize Johnson","","activated from IL"
"2021-03-24","Pacers","• Malcolm Brogdon","","activated from IL"
"2021-03-24","Pacers","• Myles Turner","","activated from IL"
"2021-03-24","Pistons","• Wayne Ellington","","activated from IL"
"2021-03-24","Raptors","","• Patrick McCaw","placed on IL with left knee injury"
"2021-03-24","Spurs","","• Rudy Gay","sore left foot (DTD)"
"2021-03-24","Thunder","","• Shai Gilgeous-Alexander","placed on IL with plantar fasciitis in right foot (out for season)"
"2021-03-24","Timberwolves","","• Josh Okogie","NBA health and safety protocols (DTD)"
"2021-03-24","Timberwolves","• Jordan McLaughlin","","activated from IL"
"2021-03-24","Timberwolves","","• Jordan McLaughlin","conditioning (DTD)"
"2021-03-25","76ers","• Seth Curry","","activated from IL"
"2021-03-25","Blazers","• Anfernee Simons","","activated from IL"
"2021-03-22","Pacers","","• Malcolm Brogdon","placed on IL with sore lower back"
"2021-03-22","Pacers","","• Myles Turner","placed on IL with sprained left ankle"
"2021-03-22","Raptors","• Jalen Harris","","activated from IL"
"2021-03-22","Rockets","","• Kevin Porter Jr.","right quadricep injury (DTD)"
"2021-03-22","Rockets","","• Victor Oladipo","placed on IL with right quadricep injury"
"2021-03-22","Rockets","• D.J. Augustine","","activated from IL"
"2021-03-22","Thunder","","• Luguentz Dort","left big toe injury (DTD)"
"2021-03-22","Thunder","• Shai Gilgeous-Alexander","","returned to lineup"
"2021-03-23","Blazers","","• Anfernee Simons","placed on IL with NBA health and safety protocols"
"2021-03-23","Blazers","","• Nassir Little","placed on IL with NBA health and safety protocols"
"2021-03-23","Blazers","• Keljin Blevins","","activated from IL"
"2021-03-23","Celtics","• Jayson Tatum","","returned to lineup"
"2021-03-23","Celtics","• Kemba Walker","","activated from IL"
"2021-03-23","Heat","","• K.Z. Okpala","NBA health and safety protocols (DTD)"
"2021-03-23","Knicks","","• Derrick Rose","conditioning (DTD)"
"2021-03-23","Knicks","• Elfrid Payton","","activated from IL"
"2021-03-23","Magic","","• Chasson Randle","placed on IL with left groin injury"
"2021-03-23","Mavericks","• James Johnson","","activated from IL"
"2021-03-23","Nets","","• Alize Johnson","placed on IL with NBA health and safety protocols"
"2021-03-23","Pistons","• Sekou Doumbouya","","returned to lineup"
"2021-03-23","Spurs","","• Lonnie Walker IV","right wrist injury (DTD)"
"2021-03-23","Suns","","• Abdel Nader","placed on IL with sore right knee"
"2021-03-23","Thunder","• Luguentz Dort","","returned to lineup"
"2021-03-23","Warriors","","• Stephen Curry","placed on IL with bruised tailbone"
"2021-03-23","Warriors","• Eric Paschall","","activated from IL"
"2021-03-21","Heat","• Andre Iguodala","","returned to lineup"
"2021-03-21","Hornets","","• LaMelo Ball","placed on IL with fractured right wrist"
"2021-03-21","Knicks","• Immanuel Quickley","","activated from IL"
"2021-03-21","Knicks","• Mitchell Robinson","","activated from IL"
"2021-03-21","Lakers","","• LeBron James","placed on IL with right high ankle sprain"
"2021-03-21","Lakers","• Marc Gasol","","activated from IL"
"2021-03-21","Magic","","• Mohamed Bamba / Mo Bamba","placed on IL with right big toe injury"
"2021-03-21","Magic","","• Terrence Ross","placed on IL with sore right knee"
"2021-03-21","Magic","• James Ennis","","activated from IL"
"2021-03-21","Magic","• Michael Carter-Williams","","activated from IL"
"2021-03-21","Nets","• Blake Griffin","","activated from IL"
"2021-03-21","Nuggets","","• Greg Whittington","placed on IL with sore left knee"
"2021-03-21","Pacers","• JaKarr Sampson","","activated from IL"
"2021-03-21","Pelicans","","• Lonzo Ball","right hip flexor injury (DTD)"
"2021-03-21","Pistons","","• Sekou Doumbouya","thumb injury (DTD)"
"2021-03-21","Rockets","","• D.J. Augustine","placed on IL with stomach illness"
"2021-03-21","Suns","• Cameron Johnson","","activated from IL"
"2021-03-21","Warriors","• Kevon Looney","","activated from IL"
"2021-03-22","Bucks","","• Giannis Antetokounmpo","placed on IL with sprained left knee"
"2021-03-22","Bulls","• Devon Dotson","","activated from IL"
"2021-03-22","Celtics","","• Jayson Tatum","illness (DTD)"
"2021-03-22","Celtics","","• Kemba Walker","placed on IL with left knee injury"
"2021-03-22","Hawks","• De'Andre Hunter","","activated from IL"
"2021-03-22","Knicks","• Derrick Rose","","activated from IL"
"2021-03-22","Nets","","• Landry Shamet","sprained right ankle (DTD)"
"2021-03-19","Magic","","• Michael Carter-Williams","placed on IL with illness"
"2021-03-19","Nets","• Kyrie Irving","","returned to lineup"
"2021-03-19","Pacers","","• JaKarr Sampson","placed on IL with sore left knee"
"2021-03-19","Pacers","• Jeremy Lamb","","activated from IL"
"2021-03-19","Pistons","","• Rodney McGruder","placed on IL with sprained right elbow"
"2021-03-19","Rockets","• Ben McLemore","","returned to lineup"
"2021-03-19","Rockets","• John Wall (Hildred)","","returned to lineup"
"2021-03-19","Rockets","• Victor Oladipo","","returned to lineup"
"2021-03-19","Spurs","","• Lonnie Walker IV","undisclosed (DTD)"
"2021-03-19","Timberwolves","• Jarrett Culver","","activated from IL"
"2021-03-19","Warriors","","• Stephen Curry","bruised tailbone (DTD)"
"2021-03-19","Wizards","","• Davis Bertans","placed on IL with strained right calf"
"2021-03-20","76ers","","• Ben Simmons","sore left knee (DTD)"
"2021-03-20","Bucks","• Axel Toupane","","activated from IL"
"2021-03-20","Bucks","• P.J. Tucker","","activated from IL"
"2021-03-20","Hawks","","• Brandon Goodwin","placed on IL with illness"
"2021-03-20","Lakers","","• Marc Gasol","placed on IL with conditioning"
"2021-03-20","Rockets","","• David Nwaba","surgery on right wrist (out for season)"
"2021-03-20","Spurs","• Lonnie Walker IV","","returned to lineup"
"2021-03-20","Thunder","","• Shai Gilgeous-Alexander","sore right shoulder (DTD)"
"2021-03-20","Warriors","","• Kevon Looney","placed on IL with NBA health and safety protocols"
"2021-03-21","76ers","• Ben Simmons","","returned to lineup"
"2021-03-21","Cavaliers","• JaVale McGee","","activated from IL"
"2021-03-21","Hawks","• Brandon Goodwin","","activated from IL"
"2021-03-21","Heat","","• Goran Dragic","lower back spasms (DTD)"
"2021-03-18","Hawks","• Clint Capela","","activated from IL"
"2021-03-18","Hawks","• Onyeka Okongwu","","activated from IL"
"2021-03-18","Heat","• Maurice Harkless / Moe Harkless","","returned to lineup"
"2021-03-18","Jazz","","• Mike Conley Jr.","placed on IL with right hamstring injury"
"2021-03-18","Knicks","","• Immanuel Quickley","placed on IL with sore left ankle"
"2021-03-18","Lakers","• Alex Caruso","","returned to lineup"
"2021-03-18","Magic","","• Michael Carter-Williams","illness (DTD)"
"2021-03-18","Magic","","• Terrence Ross","sore right knee (DTD)"
"2021-03-18","Magic","• Aaron Gordon","","returned to lineup"
"2021-03-18","Magic","• Evan Fournier","","activated from IL"
"2021-03-18","Mavericks","","• Willie Cauley-Stein","placed on IL with NBA health and safety protocols"
"2021-03-18","Nuggets","• R.J. Hampton","","activated from IL"
"2021-03-18","Raptors","• Ogugua Anunoby / O.G. Anunoby","","activated from IL"
"2021-03-18","Suns","• Abdel Nader","","returned to lineup"
"2021-03-18","Thunder","• Luguentz Dort","","returned to lineup"
"2021-03-19","76ers","","• Seth Curry","placed on IL with sprained left ankle"
"2021-03-19","Cavaliers","","• JaVale McGee","placed on IL with illness"
"2021-03-19","Celtics","• Kemba Walker","","activated from IL"
"2021-03-19","Heat","","• Udonis Haslem","NBA health and safety protocols (DTD)"
"2021-03-19","Heat","• Trevor Ariza","","activated from IL"
"2021-03-19","Hornets","","• Cody Zeller","placed on IL with bursitis in left shoulder"
"2021-03-19","Jazz","• Mike Conley Jr.","","activated from IL"
"2021-03-19","Kings","","• Jahmi'us Ramsey","placed on IL with strained right hamstring"
"2021-03-19","Lakers","• Kostas Antetokounmpo","","activated from IL"
"2021-03-19","Lakers","• Marc Gasol","","activated from IL"
"2021-03-16","Timberwolves","","• Jarrett Culver","placed on IL with left big toe injury"
"2021-03-17","Celtics","","• Kemba Walker","placed on IL with left knee injury"
"2021-03-17","Grizzlies","• Justise Winslow","","activated from IL"
"2021-03-17","Heat","","• Andre Iguodala","sore left hip (DTD)"
"2021-03-17","Heat","","• Maurice Harkless / Moe Harkless","illness (DTD)"
"2021-03-17","Kings","","• Marvin Bagley III","placed on IL with fractured left hand"
"2021-03-17","Kings","• Hassan Whiteside","","activated from IL"
"2021-03-17","Kings","• Robert Woodard II","","activated from IL"
"2021-03-17","Mavericks","• Dwight Powell","","activated from IL"
"2021-03-17","Nets","","• Kyrie Irving","right groin injury (DTD)"
"2021-03-17","Pistons","","• Rodney McGruder","sprained right elbow (DTD)"
